#FIELD: aquarius_u67203   PHOTOMETRY VERSION: phot-2.03
#REFERENCE POSITION (for DRA, DDEC):   311.720833  -12.847500 (J2000)
#ADOPTED GALAXY CENTER (for DRACEN, DDECCEN):   311.716248  -12.847500 (J2000)
#FLAG  f606w  E(f606w)  CROWD1  f814w  E(f814w)  CROWD2  CHIP  X  Y  DRA  DDEC  DRACEN  DDECCEN  RA(J2000)  DEC  
   355  23.941   0.150   0.000  99.999   0.000   0.000   1  120.54  243.57  -37.664  -50.187    -21.157    -50.187  20:46:50.49  -12:51:41.2
   355  23.988   0.183   0.000  99.999   0.000   0.000   1  677.82  598.48  -48.659  -78.176    -32.152    -78.176  20:46:49.76  -12:52:09.2
   355  23.876   0.150   0.000  99.999   0.000   0.000   1  586.04  658.32  -52.238  -74.647    -35.731    -74.647  20:46:49.52  -12:52:05.6
   355  24.063   0.182   0.000  99.999   0.000   0.000   1  783.09  695.58  -52.057  -83.645    -35.549    -83.645  20:46:49.53  -12:52:14.6
   355  24.151   0.195   0.000  99.999   0.000   0.000   1  389.70  741.79  -57.850  -66.674    -41.343    -66.674  20:46:49.14  -12:51:57.7
   355  24.203   0.132   0.000  99.999   0.000   0.000   1  253.85  336.35  -40.653  -56.940    -24.146    -56.940  20:46:50.29  -12:51:47.9
   355  23.730   0.167   0.014  99.999   0.000   0.000   1  463.32  523.54  -47.255  -67.984    -30.748    -67.984  20:46:49.85  -12:51:59.0
   355  24.215   0.154   0.000  99.999   0.000   0.000   1  451.17  490.01  -45.839  -67.138    -29.332    -67.138  20:46:49.94  -12:51:58.1
   355  23.884   0.169   0.000  99.999   0.000   0.000   1  510.52  379.05  -40.218  -68.775    -23.711    -68.775  20:46:50.32  -12:51:59.8
     0  24.122   0.054   0.000  23.211   0.070   0.011   1  196.51  612.71  -53.776  -56.912    -37.269    -56.912  20:46:49.41  -12:51:47.9
   355  24.064   0.159   0.009  99.999   0.000   0.000   1  391.96  305.28  -37.949  -62.815    -21.442    -62.815  20:46:50.47  -12:51:53.8
   163  99.999   0.000   0.000  22.977   0.099   0.014   1  704.23  454.53  -41.864  -78.056    -25.357    -78.056  20:46:50.21  -12:52:09.1
   227  99.999   0.000   0.000  22.799   0.152  -0.001   1  441.80  755.69  -57.992  -69.112    -41.485    -69.112  20:46:49.13  -12:52:00.1
